,gst (mol/m2s),tleaf(degC),par(micromol/m2),gblc(mol/m2s),An(micromol/m2s)
220,0.10005,9.2524,0.0,0.66959,-1.1917
221,0.11136,10.126,231.84,0.59661,2.6743
222,0.12443,13.229,682.64,0.54233,5.1417
223,0.17082,17.016,1101.2,0.54233,12.781
224,0.27118,19.99,1461.9,0.54233,27.183
225,0.30653,22.873,1790.3,0.54233,31.919
226,0.32177,25.322,2041.5,0.54233,33.922
227,0.3342,27.235,2208.9,0.54233,35.541
228,0.34379,28.671,2305.5,0.54233,36.784
229,0.35514,28.974,2215.4,0.64618,38.242
230,0.3619,28.776,1990.0,0.78271,39.107
231,0.36062,28.066,1629.3,0.89108,38.944
232,0.34232,26.976,1178.5,0.97893,36.594
233,0.2167,26.384,663.32,1.0514,19.588
234,0.1244,24.514,225.4,1.074,5.1367
235,0.10005,20.801,19.32,1.074,-1.3514
236,0.10005,18.543,0.0,1.0851,-1.7906
237,0.10005,16.804,0.0,1.0065,-1.6592
238,0.10005,15.396,0.0,0.95235,-1.5599
239,0.10005,14.177,0.0,0.88143,-1.4787
240,0.10005,13.265,0.0,0.81484,-1.4208
241,0.10005,12.654,0.0,0.7717,-1.3833
242,0.10005,12.172,0.0,0.71411,-1.3543
243,0.10005,11.58,0.0,0.60515,-1.3196
244,0.10005,10.923,0.0,0.54233,-1.2822
245,0.12156,12.747,199.64,0.7165,4.6211
246,0.14727,15.611,650.44,0.6355,9.0429
247,0.26006,19.766,1114.1,0.54233,25.666
248,0.30804,23.12,1532.7,0.54233,32.118
249,0.32739,26.198,1880.5,0.54233,34.658
250,0.34396,28.696,2138.1,0.54233,36.806
251,0.35758,29.144,1996.4,0.66188,38.555
252,0.36382,28.835,2086.6,0.81274,39.352
253,0.36489,28.412,1706.6,0.93054,39.49
254,0.35879,28.408,1236.5,1.0031,38.71
255,0.37138,28.62,1288.0,1.0945,40.315
256,0.31421,28.187,1062.6,1.1875,32.932
257,0.19772,27.217,579.6,1.2272,16.831
258,0.11947,25.36,199.64,1.2547,4.2355
259,0.10005,22.255,19.32,1.2188,-1.4752
260,0.10005,20.224,0.0,1.2272,-1.9274
261,0.10005,18.733,0.0,1.1627,-1.8055
262,0.10005,17.542,0.0,0.99969,-1.7137
263,0.10005,16.412,0.0,0.80427,-1.6309
264,0.10005,15.352,0.0,0.65145,-1.5569
265,0.10005,14.506,0.0,0.57914,-1.5002
266,0.10005,13.977,0.0,0.60515,-1.4658
267,0.10005,13.677,0.0,0.68973,-1.4467
268,0.10005,13.347,0.0,0.76053,-1.4259
269,0.12399,14.692,212.52,0.93421,5.0626
270,0.18702,17.704,650.44,0.93237,15.241
271,0.29524,21.255,1114.1,1.0284,30.421
272,0.32438,23.753,1545.6,1.04,34.264
273,0.34577,25.675,1912.7,1.0708,37.037
274,0.35808,27.116,2176.7,1.0851,38.619
275,0.36654,28.106,2299.1,1.0819,39.7
276,0.37126,28.72,2312.0,1.0547,40.3
277,0.37198,28.977,2228.2,0.99969,40.391
278,0.36675,28.683,2015.7,0.91757,39.727
279,0.35701,27.775,1668.0,0.85781,38.482
280,0.34504,26.375,1249.4,0.83558,36.945
281,0.24327,25.316,779.24,0.77612,23.347
282,0.14061,22.962,309.12,0.54233,7.9444
283,0.10005,19.049,19.32,0.54233,-1.2128
284,0.10005,17.522,0.0,0.6328,-1.7122
285,0.10005,16.114,0.0,0.72835,-1.6098
286,0.10005,14.704,0.0,0.68725,-1.5133
287,0.10005,14.2,0.0,0.70203,-1.4802
288,0.10005,14.111,0.0,0.8064,-1.4745
289,0.10005,13.66,0.0,0.86773,-1.4456
290,0.10005,13.782,0.0,0.99454,-1.4534
291,0.10005,14.197,0.0,1.1903,-1.4801
292,0.10005,13.819,0.0,1.3016,-1.4557
293,0.1278,13.692,244.72,1.291,5.7436
294,0.15589,16.183,708.4,1.3456,10.44
295,0.23814,19.255,1185.0,1.3807,22.628
296,0.30425,22.023,1622.9,1.3832,31.618
297,0.33253,24.471,1990.0,1.4028,35.326
298,0.35326,26.395,2247.6,1.415,38.005
299,0.36705,27.813,2357.0,1.4126,39.764
300,0.37574,28.816,2363.5,1.3955,40.868
301,0.37947,29.29,2266.9,1.377,41.343
302,0.37866,29.183,2035.0,1.3506,41.238
